,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.8882741008725262,0.9354981223768499,0.9598393574297188,0.4800664451827243,0.5672841163520665,0.9936311008413917,0.7542721088435373,0.9452322123584205,0.6536250076541548
1,KNN,0.945429118657465,0.9370444002650762,0.8726333907056798,0.47078007395311294,0.624708605394625,0.9666400921115356,0.8275374149659864,0.9415314645559103,0.6593803196374992
2,KthNN,0.9345757455993676,0.932847360282748,0.8703384968445209,0.45586275503500573,0.6082123090214542,0.9651025387999971,0.8135918367346939,0.9417993177942012,0.6415645092156023
3,LOF,0.9464627732344267,0.9150178295307521,0.8617326448651751,0.49458490530622967,0.681306644098301,0.5338956539773803,0.8204761904761905,0.9412472121397647,0.7053395383013901
4,CBLOF,0.24062870519563434,0.2755530310202279,0.16408491107286288,0.5389567730915779,0.5213149643976889,0.04053539447926994,0.42621768707482993,0.18380198539379894,0.5155593656236606
5,uCBLOF,0.9325996412610585,0.9299757013474707,0.8657487091222031,0.4487114514706158,0.5723534339536063,0.9815514495362446,0.8047891156462585,0.9398915467704553,0.5573510501500214
6,LOoP,0.9484996807831453,0.9132822114929471,0.8399311531841652,0.5318242393528164,0.7048027438463709,0.4908372564561774,0.8316462585034013,0.9224756198889229,0.7032778151980894
7,LDCOF,0.8378682394430425,0.5498122376850012,0.7022375215146299,0.4278581751975524,0.47834018842978454,0.9768195990274171,0.5047959183673469,0.8630258669698692,0.5027505970240648
8,HBOS,0.9008299638220898,0.8983243396762283,0.9598393574297188,0.4479418886198547,0.5439799687899499,0.9974486388757461,0.74621768707483,0.942477150478856,0.746112301757394
9,OCSVM,0.9560696804791292,0.93229511817981,0.40619621342512907,0.5082868780149032,0.5742332848577694,0.9777559508021668,0.5091496598639456,0.9327251060480168,0.5439336231706571
10,Nu-OCSVM,0.957346547897729,0.6186058253652686,0.45266781411359724,0.5135705839292752,0.571546428520415,0.9766202516454949,0.5171088435374149,0.6375563038439673,0.5439336231706571
