,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9426321709786277,0.8829562308687556,0.8600114744693057,0.0,0.557696062119248,0.830120538411188,0.7968707482993197,0.9498349149429308,0.8283038393239851
1,KNN,0.9477700422582312,0.8951371138249866,0.8565691336775673,0.0,0.6433595061205979,0.9163683462651794,0.8451156462585033,0.9472821095902392,0.8809429918559795
2,KthNN,0.9390751831696713,0.8919498879737449,0.8439472174411933,0.0,0.6135192199362229,0.916098218332774,0.8383673469387756,0.9483972536843487,0.8789553609699345
3,LOF,0.8868452254279026,0.804758749092745,0.8582903040734366,0.0,0.673457723259879,0.614620132913542,0.7468843537414966,0.8410701010189355,0.6271538791255894
4,CBLOF,0.563676162101359,0.37413613556754705,0.37923121055651177,0.0,0.4836570449813954,0.38022315492201275,0.533891156462585,0.2684381423011326,0.3147976241503888
5,uCBLOF,0.903414100264494,0.8583104547319259,0.8559954102122775,0.0,0.5655952272548725,0.8936467704017038,0.8574965986394558,0.9455929942712206,0.8471789847529239
6,LOoP,0.8822241814367798,0.8086402221591089,0.8709122203098107,0.0,0.7021678335841922,0.6223953432614647,0.7574285714285715,0.732474745266104,0.6135123384973363
7,LDCOF,0.8713100051682727,0.8282369276405062,0.7693631669535284,0.0,0.5463306263346404,0.8816418998437375,0.7863265306122449,0.9035837670004812,0.8548662053762782
8,HBOS,0.8443133797464507,0.824323897882546,0.8055077452667814,0.0,0.5289146305590671,0.8955030145431355,0.6748707482993197,0.8057298727423798,0.8846622986957322
9,OCSVM,0.3256315933481288,0.5136167124238694,0.4440619621342513,0.0,0.6037573890641628,0.9262110722896693,0.4442517006802721,0.45318308042156824,0.8614708223623784
10,Nu-OCSVM,0.3246283403763719,0.47193032282495506,0.3562822719449225,0.0,0.6152934629630622,0.9277303826659502,0.521578231292517,0.20506078628591418,0.8614708223623784
11,RED1,0.9118049433010061,0.8801476853166714,0.7900172117039588,0.0,0.5598341229583128,0.7405662749786167,0.7858367346938775,0.9363055932129268,0.7407482701610434
12,RED2,0.9118657465114157,0.8776547066805516,0.7991967871485944,0.0,0.5539634353194923,0.7895479446505267,0.7890068027210884,0.9368249005116543,0.8390202682015797
