,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.009279930901107198,0.5727002457963348,0.4206626590029951,0.017865324513242926,0.03499432497684966,0.6311288822272386,0.15139519542101793,0.6328413436977801,0.10710250551666625
1,KNN,0.05098981245067899,0.7316381357689856,0.24865156866435634,0.01758610294145638,0.05713445870377433,0.5003807218855767,0.28509412783980687,0.5529673150321042,0.07667467927180778
2,KthNN,0.029488783015668076,0.7544179758036604,0.2461956912084789,0.016088130216189756,0.04802204215488332,0.5469085378289773,0.2399842821531626,0.5193260434978126,0.07188448588863491
3,LOF,0.047238839571369894,0.3443195194441334,0.4821996162275937,0.019436224485732432,0.06229515797429838,0.01745390726016875,0.35214450311851225,0.4363649242641719,0.07780537687234651
4,CBLOF,0.0014931747804823557,0.13318070810537597,0.01668167910940436,0.0210626279922018,0.02777608289299296,0.158806857360164,0.12130642729875835,0.007695635192442101,0.04733484497258584
5,uCBLOF,0.018039825403977392,0.6222244494747418,0.2642345997609155,0.016276493032429985,0.03858020116869446,0.6136514124140525,0.24374136048037676,0.622129514233025,0.07937542310115354
6,LOoP,0.04909925068318237,0.35175593632143787,0.48706065759637185,0.02136956296380236,0.07199624489994261,0.019069916555791884,0.34495259099810044,0.24425833660055793,0.07981061321140058
7,LDCOF,0.014516521692827031,0.6413393315465957,0.5427489177489178,0.014217057998719754,0.04095695324785323,0.10667200448343908,0.2173534545380082,0.5276548587560659,0.06871982135844242
8,HBOS,0.005567481173781738,0.3354745769188646,0.2490681742782583,0.016344119914074362,0.032121707428803215,0.935119359607911,0.11126471123396171,0.5800332910095107,0.2308988111977084
9,OCSVM,0.015724748270039092,0.6577798117060585,0.40186068696995064,0.018101135061690865,0.039035471576485944,0.4430944550681671,0.2248189386943712,0.5789677768712651,0.052650455429661826
10,Nu-OCSVM,0.017004288362059996,0.6380521836233347,0.4008333771649891,0.020224264812051404,0.03905650704107351,0.5013708167361591,0.23663967204105943,0.5742777746938574,0.052650455429661826
