,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.016449574887575816,0.3619969910842107,0.07282649313681411,0.016235546499608098,0.04525874564109629,0.0395926433514199,0.20007705526281505,0.3200606105100453,0.05478584776784048
1,KNN,0.02015027889360797,0.34453279904951783,0.17647556116487495,0.01666980263435671,0.0691872646784661,0.09376486225127287,0.2251107047053392,0.2376307599925611,0.058794258512928244
2,KthNN,0.018005340601698255,0.3408709765182327,0.17584912829248325,0.016112822909062463,0.065622160088709,0.07553401250670372,0.21262858152958464,0.24016677867758482,0.05589192090011439
3,LOF,0.027929784936833194,0.34816628260750715,0.1765171205837711,0.017575707148984245,0.05863529024374388,0.0904907021480649,0.1323772664654339,0.2096800768948985,0.09982132557375045
4,CBLOF,0.0009720547189588752,0.11099864684325533,0.05888314276715638,0.021173813333345087,0.03650108688196034,0.019464775576199023,0.04380505706992143,0.009601057685272835,0.11212325485504536
5,uCBLOF,0.016572964624493966,0.36898033673204955,0.1770541053956445,0.01744126218320857,0.06179234816944877,0.03415159385394721,0.18739177292562686,0.22985437461175254,0.04961462842992976
6,LOoP,0.025736551464042055,0.34389842539835125,0.18293524974070338,0.015161989371247728,0.06405277966339518,0.06368654053084065,0.14411073750840558,0.2165068155170023,0.10658373328401505
7,LDCOF,0.012207927938373893,0.3007511076166926,0.08639407467532467,0.015770364092280012,0.2318184318177164,0.029588913448464718,0.14856950340353614,0.10698178442671923,0.05742815830821453
8,HBOS,0.016583282302087905,0.36349625076234315,0.06257001832562394,0.023481101255644198,0.06315100719258529,0.016145479029804604,0.19871141326854003,0.24887131952031055,0.04420624173616744
9,OCSVM,0.16697281019550592,0.37728866927240956,0.11896887616385488,0.01694531088376927,0.08160520785363495,0.03217928897160142,0.3222555611520785,0.014947998143019291,0.04462334634025383
10,Nu-OCSVM,0.16738422687641835,0.37831498192284213,0.11177149494511808,0.016968585210979343,0.08151457790502248,0.03300255407112161,0.058704523345607995,0.015161843134071195,0.04462334634025383
11,RED1,0.01798213529093365,0.3287413559293887,0.06853114060239315,0.01661056747646895,0.06771338492242102,0.03251371880576559,0.2070392577247894,0.28232061801464114,0.030709213886476586
12,RED2,0.018717362801001586,0.3725161940378248,0.17963854833769796,0.016783860193364322,0.052153895720884566,0.04213010773789376,0.2172823068539202,0.28291396423158466,0.0690407825780716
