,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0033258251003230738,0.5243911602938515,0.4747786324490181,0.017506314042802937,0.03379491577241405,0.9469703539086444,0.14324687207321946,0.6034168662610637,0.06837988335314825
1,KNN,0.04022869199036457,0.7534233368340423,0.4773649810801513,0.017618887820117002,0.09087289436090418,0.21642864671641784,0.3462159253878969,0.4139876955908249,0.04610312270396921
2,KthNN,0.030466507219134985,0.779850716999688,0.4740170390325189,0.016413057357567595,0.07218453652970844,0.25458165432836405,0.293716158019052,0.3454691576751045,0.04315339247080117
3,LOF,0.08014277396755029,0.3997234485437636,0.6060666711402005,0.020120094147903354,0.1003084082465912,0.022787280851033716,0.4941403895034133,0.3565586888667298,0.059000051477475626
4,CBLOF,0.0012428297804820824,0.09123937657224655,0.015480066427854896,0.013124658056393117,0.03780967417145976,0.06455732338380345,0.1468491959445747,0.014022221955502151,0.059410821627098126
5,uCBLOF,0.012727884291182073,0.7817262494547363,0.35325713289268273,0.015577361907607841,0.04355865878411659,0.9103482861989319,0.2837408058431306,0.5228188897715339,0.04284304767429833
6,LOoP,0.06034912746737476,0.3920723513774173,0.7089888366247967,0.02260844753755418,0.12249997265428114,0.03721411643779346,0.5249368265682539,0.16700325539969352,0.06767911618274475
7,LDCOF,0.04012283278936073,0.5889240910341365,0.14549464829828845,0.014079326637066611,0.04431645889712069,0.6573803192775076,0.3002648751103495,0.3367561322817913,0.04092112534017371
8,HBOS,0.0034925211298212143,0.4487459617841327,0.39198467265694154,0.016056577200044882,0.03458575314946281,0.9301832650423925,0.15239399076325078,0.6259699354901616,0.13233602752321066
9,OCSVM,0.003615643405319842,0.6538441452375965,0.4890073536468936,0.013711133911492738,0.04310800673227008,0.9084515191695897,0.1993683401611537,0.5272534627290001,0.03634167936568855
10,Nu-OCSVM,0.004030023406362231,0.6568662416483052,0.4865882916164871,0.015519846787230963,0.04260094100989462,0.9086766537197334,0.2128070973262283,0.5232870659523048,0.03634167936568855
