,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7568783631775757,0.9231278992710404,0.966150315547906,0.45948533138127146,0.5477061232538084,0.9936038128753847,0.7547619047619047,0.9341245025582717,0.6211707794991121
1,KNN,0.9778980330161433,0.9763324813026603,0.9655765920826163,0.4670495711094845,0.681688316630243,0.9349136912974317,0.8850884353741496,0.9271056544365242,0.5773400281672891
2,KthNN,0.9729425713677682,0.9795197071539019,0.9650028686173264,0.45701709931114737,0.6514840591946449,0.9256862311955721,0.8563945578231292,0.9271220536143788,0.5599069254791501
3,LOF,0.9836135347946372,0.8316766070245195,0.9707401032702239,0.4927360774818402,0.7658905750067848,0.5395328228878515,0.9048707482993197,0.9427340709319106,0.6210072867552507
4,CBLOF,0.3848843218921959,0.36514247846255793,0.15834767641996558,0.43398652326519893,0.5388107205539963,0.8234999071291913,0.6841496598639456,0.288357677001793,0.588884942746923
5,uCBLOF,0.9432402030827228,0.9713149673388242,0.9506597819850832,0.44276141674643843,0.5616263462458666,0.9836102004506209,0.8505714285714286,0.9275374994533607,0.56233176168024
6,LOoP,0.9868361049463411,0.8539714096374137,0.963855421686747,0.5222234735439308,0.7848278347492126,0.5194164197118483,0.917482993197279,0.9305713473564525,0.6430426795664687
7,LDCOF,0.9603563068129998,0.662438069992742,0.8571428571428572,0.4249019276610921,0.5642820126197159,0.9779042893064551,0.7879659863945578,0.9310687890847071,0.5330243095952483
8,HBOS,0.7603137445657131,0.895578907507337,0.9581181870338497,0.44786680931734146,0.5372210785902269,0.9956519390635004,0.7784897959183673,0.9332280141688897,0.7149849978568367
9,OCSVM,0.7894080807466635,0.9510240146423049,0.9684452094090648,0.42755785798749935,0.5274501808683107,0.9818260108076652,0.756421768707483,0.9138387195521932,0.5073455391586553
10,Nu-OCSVM,0.7945763536314717,0.950676891034744,0.9684452094090649,0.4951104604238227,0.5231388798127397,0.9820435501669253,0.7553061224489797,0.9095530677395374,0.5073455391586553
