,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.003178593845319379,0.44497102014847517,0.19976112483819364,0.015452527077332731,0.03740688618515853,0.30842565232769703,0.24309679856677807,0.20705255240475548,0.052474538424466574
1,KNN,0.006456735151451164,0.4705328089536237,0.1874965367288079,0.01572345198126794,0.053771449949016815,0.26164666356544247,0.2838225625602206,0.16121497451419456,0.04422406793921099
2,KthNN,0.005531830150200453,0.4707563625703376,0.18552237542718766,0.015573851418093362,0.050037117917649046,0.3324092963539131,0.2581462386791063,0.16148930152161395,0.0443514569986211
3,LOF,0.025535763759271805,0.39956379470183323,0.29994363339866054,0.0173277320885311,0.05312867638552436,0.019326255508990295,0.31577704152049624,0.13842981487786596,0.04143258160955316
4,CBLOF,0.0013753062065565732,0.0854781234837974,0.023137558571765263,0.01620322008621255,0.036528223094052,0.010142884212708607,0.06020319931006242,0.009632447924455414,0.034938284648511106
5,uCBLOF,0.004181073400958402,0.47763407095316335,0.3455479196847483,0.01652071442470901,0.044845012682993145,0.12747223237275657,0.23647412289516317,0.13582911047542762,0.043822264302702266
6,LOoP,0.020418744518086115,0.37605166174378024,0.29981418245484737,0.01739245725813625,0.061292514751092715,0.025130391445243955,0.325008543628931,0.13469675821721552,0.04116436421817346
7,LDCOF,0.003783842271880044,0.43960362782217893,0.13008683447250954,0.01872477517214933,0.03830700311613376,0.12554595237714558,0.2074441449896095,0.08093439449478296,0.046899585861490206
8,HBOS,0.002563032259452675,0.4573129219912136,0.15410855791658953,0.014829764633111399,0.03839439673887768,0.20299369298878248,0.20257385846361925,0.22477419902026965,0.047970109666382356
9,OCSVM,0.00800420571721809,0.12674577380733326,0.019662933745208524,0.01994528077886433,0.04472648236124807,0.45178157131286617,0.05220042602518363,0.014828510661302668,0.045549243311459375
10,Nu-OCSVM,0.007581058629809467,0.10502692341215428,0.01711174371245208,0.012797405708881552,0.04580110336305108,0.5105520296363236,0.06299457053391282,0.00938976177695846,0.045549243311459375
11,RED1,0.0028112688745981626,0.4476385970369173,0.21905922894550106,0.014647216849491907,0.03490545258807945,0.029840100657358957,0.20992976782231534,0.19951125085838406,0.039991536672274716
12,RED2,0.00253339946025941,0.46105768373929273,0.19076462362180002,0.014509041293601357,0.03439474338140601,0.025935082525253166,0.21423051486321215,0.21485820059949848,0.04718535722089401
