,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0033258251003230738,0.5243911602938515,0.4747786324490181,0.017506314042802937,0.03379491577241405,0.9469703539086444,0.14324687207321946,0.6034168662610637,0.06837988335314825
1,KNN,0.007744274494005043,0.4889508220436217,0.19914911468224675,0.01565337555442195,0.06397444113021834,0.24584190883102552,0.2858779919826628,0.17420066700744866,0.043313974957659235
2,KthNN,0.006167206184750892,0.4819999539932563,0.20111249402315437,0.015568041897934409,0.05628285596079902,0.33372983535333717,0.26013752101824,0.17500146775979591,0.04310452958100877
3,LOF,0.027926221371339592,0.4023551774749212,0.3020364912927245,0.016918305048699303,0.07256717290478872,0.023445664936623884,0.3154349741998728,0.16420956865738198,0.038189208700683194
4,CBLOF,0.01173849441446951,0.08472411101602013,0.1598976416642851,0.022241169442981917,0.03821651732492992,0.012812427505125425,0.06350390947676465,0.009193647170886478,0.037613717352576126
5,uCBLOF,0.00471633488286116,0.4062273927360748,0.3233256805306495,0.0156260669128582,0.046224935379864274,0.14621201881845222,0.265466967156904,0.16955929556453392,0.041542311190343614
6,LOoP,0.028332997192164183,0.38125506743291093,0.3108221172937394,0.01704868984945812,0.08651856239835115,0.03125244172878834,0.33205065082204194,0.15574179990824974,0.037080317007592345
7,LDCOF,0.006636729691561606,0.3564663242603677,0.12124255952380954,0.015681180785487442,0.039981756661266715,0.6545431790168813,0.1990713489190587,0.08653422206988019,0.043974654284621564
8,HBOS,0.003570007685858082,0.42099701823441626,0.40989891046930194,0.015988255217346342,0.03420696324700995,0.9370129005783916,0.12927945062301885,0.6191231171750426,0.15069841146611107
9,OCSVM,0.010015563854283467,0.12379311259213867,0.027506547049750543,0.01871269597111275,0.04571133239597969,0.5557716624510319,0.07454577730482428,0.013232459561232809,0.04444843947925496
10,Nu-OCSVM,0.0012516321475025214,0.10256648675969132,0.017272632523031677,0.008867039294976531,0.04706169129478731,0.603373600930236,0.06892512235785073,0.00913460910700535,0.04444843947925496
