,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7092998510321344,0.9013222253778914,0.9076305220883535,0.5407399065262682,0.5234875350622058,0.9075907171995974,0.8128843537414966,0.8662264398478154,0.5363290674177943
1,KNN,0.8789408080746662,0.9184259522231689,0.8990246701090076,0.48947012782251254,0.5922210222362679,0.8799712189669453,0.8500680272108844,0.8601204792933047,0.5144473700324537
2,KthNN,0.8560788009606908,0.9161854271198208,0.897877223178428,0.49338363646601724,0.5775124436237224,0.8809417125479035,0.8325374149659863,0.8589288057025406,0.5207201028718389
3,LOF,0.9756179126257866,0.786361197892013,0.8927137119908204,0.49755053775550423,0.6297777835061671,0.5186887151393687,0.837673469387755,0.8317990991384966,0.5156720347804788
4,CBLOF,0.549417809260329,0.34431506200889894,0.43717728055077454,0.5268033109972409,0.5225951199033703,0.5800607775108433,0.5054421768707482,0.41405737525692043,0.49571122405241563
5,uCBLOF,0.8610950658194754,0.8476442929723247,0.9082042455536431,0.4969780580738405,0.5379870879130689,0.8419803062927681,0.8294013605442176,0.8501825775134473,0.5084146714836814
6,LOoP,0.9776244185693005,0.7570765880905046,0.8646012621916237,0.4959034855566192,0.6356752532245624,0.4995681316304216,0.8444489795918368,0.8029666112738881,0.4890735411181189
7,LDCOF,0.8450126166661599,0.7937770204171795,0.8502581755593804,0.526230831315577,0.5337846727497697,0.8897233418101834,0.7774149659863945,0.8023297765338697,0.5269022105198702
8,HBOS,0.6777733864348037,0.882766890719177,0.7894434882386692,0.4891228860483886,0.5123417402281119,0.7163170061610673,0.7210204081632652,0.5440864564656491,0.5336335803073908
9,OCSVM,0.9137202444289059,0.48975985357695095,0.42971887550200805,0.5454792874974191,0.5242350759093409,0.9590549038462274,0.49981632653061225,0.5133379979883674,0.5187520666217622
10,Nu-OCSVM,0.5348858419724561,0.4609170374577929,0.36087205966724045,0.5005912495072921,0.5377390189010063,0.9614629713002448,0.49504081632653063,0.25501268203087424,0.5187520666217622
11,RED1,0.6771349527255038,0.9035627504812396,0.8703384968445209,0.47141355556806874,0.5040879217731166,0.5632625502349542,0.7803401360544218,0.8629028731359601,0.5756414181617783
12,RED2,0.6756452740704709,0.9070024298652528,0.8531267928858289,0.4706721474557501,0.5039244394957113,0.5658236952797934,0.7882312925170067,0.8630231337735602,0.5684587594146103
