,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.00330747619946117,0.47128265307997097,0.1799361112193559,0.014471542064876998,0.03578089382323821,0.365876527645504,0.25497514175466635,0.20317927425217644,0.05452732396464144
1,KNN,0.010110640074503956,0.5205006209916692,0.14532805236293608,0.015723367803039248,0.05614436104310179,0.18990191320082142,0.306249003906213,0.18974631150480653,0.039020289477845124
2,KthNN,0.006862391498857779,0.5204155657131302,0.15995819178912812,0.015977263021267084,0.05098184223403929,0.2489973622088448,0.25786175914743265,0.1821388819538799,0.03989272995928553
3,LOF,0.03528662791355892,0.3212346572936084,0.12331545237510733,0.01692272688824382,0.05200212107599227,0.018786806196755334,0.24358442434252384,0.11171164440609183,0.03628879594778943
4,CBLOF,0.0014663131729344683,0.07861000299973313,0.017758023583197696,0.051475883140046655,0.03918702731038492,0.011638146398159027,0.07648795987475078,0.01443605336013288,0.03537768675553629
5,uCBLOF,0.004499417085336916,0.6275166293209439,0.1034841647137082,0.01591418637166428,0.03672622032097301,0.1530123155346049,0.2513618386709873,0.1262606276271559,0.04285818259196473
6,LOoP,0.04517977760947806,0.3148260906795084,0.11677011340177469,0.017672488169130553,0.058133597709472976,0.023588544160523715,0.2536682018294161,0.09078542247296935,0.036344264223183695
7,LDCOF,0.005917864949486728,0.3035181043235366,0.09196806893523746,0.020333866236849716,0.040902143087875036,0.558058062769303,0.14481925438477944,0.059830079310023855,0.04205146901674638
8,HBOS,0.004002204693928583,0.409253965435146,0.09114457225465554,0.016025881238299657,0.04074070995351922,0.0642318572691675,0.13436632245112223,0.022634839375712576,0.03796447727898414
9,OCSVM,0.0032878148425028817,0.4706069064248791,0.12757978900130895,0.016410916359024214,0.033484354029749606,0.16253722977356422,0.24494378300001582,0.19227519626487888,0.0517076900859894
10,Nu-OCSVM,0.0034674113057085137,0.46599945702149387,0.1315078769474407,0.017153280609051712,0.03799352527580402,0.16569679811267637,0.2628406637480388,0.18652748040461753,0.0517076900859894
11,RED1,0.002718858583273722,0.44837039842216253,0.19104845512408533,0.014424676325675451,0.036637477669066366,0.019811953446362277,0.1793525374443707,0.2197832005124978,0.048256396833355295
12,RED2,0.002676797477422192,0.4612297200339514,0.18070740014441464,0.014392740996613694,0.03652185564542328,0.019913334196926036,0.1830490873247968,0.22291123860636114,0.04639525410556356
