,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.6553978050041042,0.8978825459938781,0.9592656339644291,0.4578805112900501,0.5373798879527064,0.9530207217832622,0.7697687074829932,0.9383226920890365,0.5734327352887147
1,KNN,0.9760131334934485,0.9696740193758087,0.9563970166379805,0.4726992886236087,0.5567159356498047,0.9830159801488327,0.881687074829932,0.9159104823544847,0.5843842997979303
2,KthNN,0.9706624509774116,0.9726719050774717,0.9604130808950087,0.4620943371436079,0.5480096116419914,0.9828068488463254,0.8578775510204081,0.9171404206935758,0.5672047027126323
3,LOF,0.9828230930593135,0.8184543532456057,0.9621342512908778,0.5002440077331682,0.5825453822338398,0.5347822198645691,0.9045986394557823,0.9378416495386365,0.6214218357724574
4,CBLOF,0.4853920286991153,0.35457098677774623,0.13138267355134828,0.5812170354937403,0.544042460308958,0.7402554061893998,0.5755646258503401,0.3439454235361,0.5707684771293859
5,uCBLOF,0.9499893594381783,0.9701789264413518,0.9586919104991395,0.46155939711320093,0.543841483120148,0.9773756518473393,0.8474421768707482,0.9207701053920497,0.549951625742453
6,LOoP,0.9862584744474509,0.8411751711950518,0.9518072289156626,0.526873697843347,0.6013754160149695,0.5044513526397603,0.9196190476190477,0.93455088118249,0.6617133059824873
7,LDCOF,0.9607211260754568,0.537205339392218,0.6982214572576019,0.40901327026671924,0.5549390562620073,0.81863317100688,0.8126938775510204,0.9224373551405957,0.540971159145184
8,HBOS,0.7739944669078528,0.847802076430307,0.9500860585197934,0.45097321545882835,0.5134614682873395,0.9906254753418449,0.7742448979591837,0.9500590370402763,0.6581232012736513
9,OCSVM,0.7920834220046818,0.9406103064154754,0.9632816982214573,0.5898511552827674,0.5289678878402216,0.9595457814868349,0.7646258503401361,0.9180369090829579,0.49590961974159575
10,Nu-OCSVM,0.7937555102909433,0.9406734197986683,0.963855421686747,0.4540890065131295,0.531282445373485,0.9681053870929196,0.7629115646258504,0.9140409760790658,0.49590961974159575
