,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9222934970966467,0.9242008267853199,0.861732644865175,0.0,0.5659818516817361,0.9740199454393553,0.7842040816326531,0.9507040713692221,0.8351313452942257
1,KNN,0.9525430942753776,0.9372968537978478,0.8737808376362592,0.0,0.6534971369956935,0.9698294718695721,0.8402448979591837,0.9458991122578388,0.9010250443940971
2,KthNN,0.9398960265101997,0.9339518444886238,0.8634538152610443,0.0,0.6269444208241381,0.9700950390681631,0.8224625850340136,0.9468038002361482,0.8919490539464823
3,LOF,0.9761651415194722,0.9055823787434125,0.8709122203098107,0.0,0.7092581520186547,0.4611771738075273,0.8576054421768707,0.9490477544059125,0.8496338252403405
4,CBLOF,0.7953363937615905,0.36952885859446494,0.336201950659782,0.0,0.4765418275823281,0.03246781306698647,0.3552380952380953,0.24851314120785412,0.6640903802584043
5,uCBLOF,0.9352141793086675,0.9291236706743664,0.8714859437751005,0.0,0.5731655447207165,0.8422086232520478,0.8101360544217687,0.940984825294092,0.8346041271202008
6,LOoP,0.9808773903262092,0.9073811101644104,0.8783706253585772,0.0,0.7295993088437996,0.44311488437520624,0.8610748299319728,0.9242467310972143,0.7685469352764681
7,LDCOF,0.9314443802632779,0.8826091072611947,0.5628227194492255,0.0,0.5540977920853598,0.971800014624923,0.7645986394557823,0.9334029387326714,0.7915853285163187
8,HBOS,0.8851427355364362,0.907633563697182,0.8829604130808951,0.0,0.5654072086868568,0.9853027422749705,0.7344761904761904,0.9262091660471422,0.7640867062641602
9,OCSVM,0.9688687562703311,0.5482975164883714,0.5215146299483648,0.0,0.5920636496207657,0.982024721215591,0.4857142857142857,0.4075496348449731,0.8020531504500643
10,Nu-OCSVM,0.48995226947982856,0.5221370191549117,0.4366035570854848,0.0,0.5961838772773695,0.9821655689056812,0.49210884353741496,0.20007543621813093,0.8020531504500643
11,RED1,0.8917398838658681,0.9254315377575815,0.8737808376362592,0.0,0.5646443797359644,0.9874748236027912,0.7816190476190477,0.9217868544190317,0.6174612699773437
12,RED2,0.894749642781139,0.9186784057559405,0.882960413080895,0.0,0.5638545873684999,0.9808359239065768,0.7898503401360545,0.9258975816679056,0.8322123568673077
