,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7403094883409844,0.9166272208021711,0.9644291451520367,0.49190082024138,0.5469503803948036,0.993245986363151,0.7849115646258503,0.931779420125071,0.6375071949053946
1,KNN,0.9750098805216915,0.973460822367383,0.9598393574297188,0.4667492538994313,0.6879793434283918,0.9409796711022989,0.8813877551020408,0.9378963134648183,0.5938913722368502
2,KthNN,0.9737026114978872,0.9771213985925715,0.9609868043602984,0.45620999680912966,0.6568247964338767,0.9302123136245934,0.8515442176870748,0.9360978702934359,0.5750566407445961
3,LOF,0.981029398352233,0.8351793997917258,0.9621342512908778,0.4936745687632562,0.777732104102836,0.5278547709479727,0.8975918367346939,0.9493757379630035,0.6334713122282776
4,CBLOF,0.8111148268628583,0.4871090914828489,0.08376362593230063,0.5557933066801809,0.5467747903855905,0.8937551324179764,0.7368571428571429,0.19239515458958323,0.6236482762843671
5,uCBLOF,0.9487732952299882,0.9615323929439237,0.9586919104991394,0.4519961709555719,0.5645874120208686,0.9834458102016226,0.835795918367347,0.9235524992347051,0.5541191598799828
6,LOoP,0.9811510047730521,0.8599987377323361,0.9558232931726908,0.5246823207012408,0.7920221290280248,0.5213813570960304,0.9167482993197278,0.9279256133292517,0.6762525258710428
7,LDCOF,0.9334508862067917,0.5408343589258102,0.8407917383820999,0.41456913865270195,0.575460183082296,0.9846553983418803,0.8062108843537416,0.9239078147548869,0.5444724756597881
8,HBOS,0.7694342261271395,0.8963993814888447,0.9432013769363167,0.4497531767929876,0.5432530306154879,0.9975369744295707,0.7968707482993197,0.9298005859972887,0.7077962157859287
9,OCSVM,0.7486699297722921,0.9456909337625043,0.9661503155479059,0.5445220263903748,0.533976248312729,0.9802914640133896,0.7120000000000001,0.9151943849215025,0.5074018737370645
10,Nu-OCSVM,0.7462073997507068,0.9459118306036794,0.9650028686173264,0.5035474970437526,0.5312664319217392,0.9803630598905883,0.7106802721088435,0.9102199676389556,0.5074018737370645
