,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.7361748700331379,0.8952633405913724,0.9099254159495123,0.4626011224355726,0.5196895293004877,0.9441362594389993,0.7831428571428571,0.8690197664757074,0.5661527156940787
1,KNN,0.7937251086857386,0.894537536684654,0.9087779690189328,0.4879450794902115,0.6027873058745599,0.9456848196611961,0.8262448979591837,0.858103380417195,0.545869818137285
2,KthNN,0.7825069163651841,0.8912871974502193,0.9059093516924843,0.485566004091822,0.5844042956893349,0.9388103924600624,0.814204081632653,0.8592458564743956,0.5483026146592371
3,LOF,0.8806432979661325,0.8564801666193316,0.9070567986230638,0.49000506785291964,0.6306492751653348,0.5109656092643537,0.8257142857142857,0.8567039839069401,0.537135509154369
4,CBLOF,0.4414617091782446,0.25488339802455107,0.33390705679862304,0.5659383974322878,0.5350755689852805,0.11323461255547088,0.4452517006802721,0.33779573184064376,0.4596044332863878
5,uCBLOF,0.7510108533730581,0.8607403199848528,0.9231210556511762,0.506165887718903,0.5424280867685813,0.6951053644166453,0.8206666666666667,0.8623453010889054,0.5386271508174637
6,LOoP,0.8519745842580488,0.8614976805831677,0.9110728628800918,0.4966402012125308,0.6438123046024112,0.48845785283199905,0.8391156462585034,0.8564962609874491,0.5314996019839568
7,LDCOF,0.7573343872556471,0.837703935119442,0.7016637980493402,0.5794245171462358,0.5404053981066856,0.9311912916991842,0.7640136054421768,0.7871660034110289,0.570490478231584
8,HBOS,0.7144529231143405,0.9018271324434346,0.8273092369477912,0.4754302982525292,0.49547685548479137,0.950820715515438,0.7966802721088435,0.8636736344951239,0.5364460229012307
9,OCSVM,0.7943027391846289,0.8996497207232794,0.43775100401606426,0.4320766935075173,0.5237635718188246,0.9720782448665629,0.5635102040816327,0.5280562601128262,0.5476382340334334
10,Nu-OCSVM,0.7991973976225945,0.8866483637855408,0.459552495697074,0.49481014321376954,0.5339878538805447,0.9722347366380054,0.5316598639455782,0.4736000568504833,0.5476382340334334
11,RED1,0.7741768765390813,0.8955473508157406,0.9093516924842225,0.4641871727011656,0.5029446338532628,0.4170054221774472,0.796,0.8503137709362837,0.5094372665482824
12,RED2,0.7177210956738516,0.903594307172836,0.8835341365461847,0.4674437374476791,0.5065234171344603,0.8013888581018124,0.8095238095238094,0.8707580793282896,0.5726250688873921
