,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0031756095219574306,0.47128265307997097,0.1799361112193559,0.017843639223430817,0.03578089382323821,0.365876527645504,0.25497514175466635,0.21711616049971952,0.06994449257681491
1,KNN,0.01091542299807175,0.5205006209916692,0.14532805236293608,0.01638406589871394,0.05614436104310179,0.18990191320082142,0.306249003906213,0.18450928518191906,0.03916651408651813
2,KthNN,0.007285788781471394,0.5204155657131302,0.15995819178912812,0.0169299859101384,0.05098184223403929,0.2489973622088448,0.25786175914743265,0.18251076908019737,0.04022969576061913
3,LOF,0.04859213524905254,0.3212346572936084,0.12331545237510733,0.015805565929510206,0.05200212107599227,0.018786806196755334,0.24358442434252384,0.09413228805234564,0.035834947874741764
4,CBLOF,0.0026797142424432917,0.07861000299973313,0.017758023583197696,0.032043860307263236,0.03918702731038492,0.011638146398159027,0.07648795987475078,0.012519636638620752,0.032536760930253955
5,uCBLOF,0.004944734198370678,0.6275166293209439,0.1034841647137082,0.017012190579567765,0.03672622032097301,0.1530123155346049,0.2513618386709873,0.1743312109582443,0.038257715236019244
6,LOoP,0.047165089505988585,0.3148260906795084,0.11677011340177469,0.015888746666026035,0.058133597709472976,0.023588544160523715,0.2536682018294161,0.07396991978553488,0.035873077948510176
7,LDCOF,0.007850881903028338,0.28751156686413964,0.06872806618372641,0.016841001403460266,0.04031182887589416,0.11276559931622207,0.17251667713851546,0.06728155531168599,0.04188105466661626
8,HBOS,0.004094468262338011,0.409253965435146,0.09114457225465554,0.015355021693470548,0.04074070995351922,0.0642318572691675,0.13436632245112223,0.021537849618126353,0.04273098252211779
9,OCSVM,0.0031814663672376144,0.4706069064248791,0.12757978900130895,0.013958549066813757,0.033484354029749606,0.16253722977356422,0.24494378300001582,0.2033382491594981,0.05158712539124962
10,Nu-OCSVM,0.0033880845833996246,0.46599945702149387,0.1315078769474407,0.019044111283025692,0.03799352527580402,0.16569679811267637,0.2628406637480388,0.1991266640901258,0.05158712539124962
11,RED1,0.0024661183311315456,0.44837039842216253,0.19104845512408533,0.014920176148398833,0.036637477669066366,0.019811953446362277,0.1793525374443707,0.2648596611924873,0.049558929106393965
12,RED2,0.0024526470721609487,0.4612297200339514,0.18070740014441464,0.014893074139873947,0.03652185564542328,0.019913334196926036,0.1830490873247968,0.26636041469023175,0.04853097305373863
