,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9070318912838597,0.9004070813215942,0.9575444635685599,0.4800664451827243,0.577368768926003,0.9875577830960859,0.7776054421768708,0.954279092141514,0.7043046965893087
1,KNN,0.9506277931474781,0.8326548644640096,0.7728055077452668,0.47078007395311294,0.6342310295834851,0.9324840176854557,0.8470068027210885,0.9310906546551799,0.6872083767068766
2,KthNN,0.9455811266834889,0.8298620972577235,0.7619047619047619,0.45586275503500573,0.6179058176925989,0.920698928635217,0.8360544217687075,0.9310086587659072,0.6708339966934052
3,LOF,0.918280485209619,0.8476127362807283,0.8014916810097532,0.49458490530622967,0.6719366964260207,0.5681971113484052,0.7622857142857142,0.9427231381466743,0.6911077092645889
4,CBLOF,0.28048520961906787,0.4550474928208526,0.5031554790590935,0.5389567730915779,0.5159700424585235,0.5511691657704442,0.3155918367346939,0.24135216687803387,0.5557112240524156
5,uCBLOF,0.9363998419116528,0.8257439490043863,0.7716580608146874,0.4487114514706158,0.5986292764285561,0.896479699511339,0.8168571428571428,0.9318559496217256,0.5958765537933991
6,LOoP,0.9355485969659197,0.8457508914765376,0.8324727481353988,0.5318242393528164,0.6867516780088773,0.5333306580425483,0.7763401360544218,0.942356889841256,0.7003275978200967
7,LDCOF,0.49904234943605025,0.5364322004481051,0.5496270797475616,0.43051410552395974,0.4999705397124676,0.5381482197723354,0.5047551020408163,0.5670097739100013,0.5026440511909864
8,HBOS,0.9290122518468975,0.8248919183312822,0.9506597819850832,0.4479418886198547,0.545228390321135,0.9971188646983151,0.7677687074829932,0.9541424323260594,0.788980466597269
9,OCSVM,0.957589760739367,0.8116381078607718,0.5496270797475618,0.5082868780149032,0.5994109644271491,0.8602551412082173,0.8633061224489795,0.5345913324878646,0.5222680791133427
10,Nu-OCSVM,0.9585626121059192,0.609643724951876,0.6924842226047045,0.5135705839292752,0.5968393268279661,0.8868100775401185,0.5526938775510204,0.5367423579831199,0.5222680791133427
